tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departPosLat;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalPosLat;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized;example_device_customValue1;example_device_customValue2;emissions_CO_abs;emissions_CO2_abs;emissions_HC_abs;emissions_PMx_abs;emissions_NOx_abs;emissions_fuel_abs;emissions_electricity_abs;personinfo_id;personinfo_depart;personinfo_type;ride_waitingTime;ride_vehicle;ride_depart;ride_arrival;ride_arrivalPos;ride_duration;ride_routeLength;walk_depart;walk_departPos;walk_arrival;walk_arrivalPos;walk_duration;walk_routeLength;walk_timeLoss;walk_maxSpeed;access_stop;access_duration;access_routeLength;containerinfo_id;containerinfo_depart;stop_duration;stop_arrival;stop_arrivalPos;stop_actType;transport_waitingTime;transport_vehicle;transport_depart;transport_arrival;transport_arrivalPos;transport_duration;transport_routeLength;tranship_depart;tranship_departPos;tranship_arrival;tranship_arrivalPos;tranship_duration;tranship_routeLength;tranship_maxSpeed
flow_ne.0;0.00;n_t_1;5.10;;12.15;0.00;26.00;t_e_1;141.95;;12.11;26.00;294.44;0.00;0;0.00;1.21;0;tripinfo_flow_ne.0;DEFAULT_VEHTYPE;0.87;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_sw.0;0.00;s_t_1;5.10;;11.80;0.00;27.00;t_w_1;142.02;;11.78;27.00;294.51;0.00;0;0.00;1.29;0;tripinfo_flow_sw.0;DEFAULT_VEHTYPE;0.85;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_sw.1;12.00;s_t_1;5.10;;14.86;-0.86;33.00;t_w_1;142.02;;14.13;21.00;294.51;0.00;0;0.00;0.71;0;tripinfo_flow_sw.1;DEFAULT_VEHTYPE;1.07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ne.1;12.00;n_t_1;5.10;;12.51;0.00;37.00;t_e_1;141.95;;11.44;25.00;294.44;0.00;0;0.00;1.08;0;tripinfo_flow_ne.1;DEFAULT_VEHTYPE;0.90;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_sw.2;25.00;s_t_1;5.10;;16.48;-0.71;44.00;t_w_1;142.02;;16.42;19.00;294.51;0.00;0;0.00;0.60;0;tripinfo_flow_sw.2;DEFAULT_VEHTYPE;1.19;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ne.2;24.00;n_t_1;5.10;;13.95;0.00;47.00;t_e_1;141.95;;13.27;23.00;294.44;0.00;0;0.00;0.96;0;tripinfo_flow_ne.2;DEFAULT_VEHTYPE;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_en.0;0.00;e_t_0;5.10;;14.27;0.00;51.00;t_n_0;141.95;;14.01;51.00;283.80;25.00;1;0.00;31.00;0;tripinfo_flow_en.0;DEFAULT_VEHTYPE;1.03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_we.0;0.00;w_t_0;5.10;;13.97;0.00;52.00;t_e_0;141.95;;13.60;52.00;294.90;24.00;1;0.00;30.78;0;tripinfo_flow_we.0;DEFAULT_VEHTYPE;1.00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ws.0;1.00;w_t_0;5.10;;10.56;1.00;54.00;t_s_0;141.95;;12.66;53.00;283.80;24.00;1;0.00;30.63;0;tripinfo_flow_ws.0;DEFAULT_VEHTYPE;0.92;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ew.0;1.00;e_t_0;5.10;;10.87;1.00;55.00;t_w_0;142.02;;13.03;54.00;294.97;24.00;1;0.00;30.97;0;tripinfo_flow_ew.0;DEFAULT_VEHTYPE;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ws.1;36.00;w_t_0;5.10;;14.70;0.00;57.00;t_s_0;141.95;;14.17;21.00;283.80;0.00;0;0.00;0.77;0;tripinfo_flow_ws.1;DEFAULT_VEHTYPE;1.06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_en.1;36.00;e_t_0;5.10;;12.71;0.00;60.00;t_n_0;141.95;;11.97;24.00;283.80;0.00;0;0.00;1.16;0;tripinfo_flow_en.1;DEFAULT_VEHTYPE;0.91;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ew.1;40.00;e_t_0;5.10;;14.98;0.00;61.00;t_w_0;142.02;;14.44;21.00;294.97;0.00;0;0.00;0.85;0;tripinfo_flow_ew.1;DEFAULT_VEHTYPE;1.08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_we.1;40.00;w_t_0;5.10;;14.45;0.00;62.00;t_e_0;141.95;;13.64;22.00;294.90;0.00;0;0.00;0.96;0;tripinfo_flow_we.1;DEFAULT_VEHTYPE;1.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_wn.0;0.00;w_t_1;5.10;;13.50;0.00;88.00;t_n_1;141.95;;12.70;88.00;294.44;60.00;1;0.00;65.29;0;tripinfo_flow_wn.0;DEFAULT_VEHTYPE;0.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_es.0;0.00;e_t_1;5.10;;11.24;0.00;90.00;t_s_1;141.95;;11.13;90.00;294.44;57.00;1;0.00;62.86;0;tripinfo_flow_es.0;DEFAULT_VEHTYPE;0.81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_es.1;72.00;e_t_1;5.10;;13.43;0.00;96.00;t_s_1;141.95;;12.73;24.00;294.44;0.00;0;0.00;1.29;0;tripinfo_flow_es.1;DEFAULT_VEHTYPE;0.97;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_wn.1;72.00;w_t_1;5.10;;13.27;0.00;96.00;t_n_1;141.95;;12.54;24.00;294.44;0.00;0;0.00;1.21;0;tripinfo_flow_wn.1;DEFAULT_VEHTYPE;0.95;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_sn.0;0.00;s_t_0;5.10;;16.38;0.00;121.00;t_n_0;141.95;;15.70;121.00;294.90;96.00;1;0.00;102.80;0;tripinfo_flow_sn.0;DEFAULT_VEHTYPE;1.18;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
flow_ns.0;0.00;n_t_0;5.10;;14.62;0.00;122.00;t_s_0;141.95;;13.51;122.00;294.90;96.00;1;0.00;101.38;0;tripinfo_flow_ns.0;DEFAULT_VEHTYPE;1.05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
