reward,step_time,total_stopped,total_wait_time
0.0,125.0,8,766.0
-177.0,130.0,9,810.0
-10.0,135.0,8,751.0
-10.0,140.0,8,793.0
-10.0,145.0,8,833.0
-10.0,150.0,8,871.0
-10.0,155.0,5,796.0
-10.0,160.0,7,588.0
-10.0,165.0,7,623.0
-10.0,170.0,9,662.0
-13.0,175.0,8,701.0
-15.0,180.0,8,741.0
-15.0,185.0,7,639.0
127.0,190.0,7,523.0
141.0,195.0,7,558.0
-10.0,200.0,7,593.0
-10.0,205.0,7,628.0
-10.0,210.0,7,663.0
-10.0,215.0,8,654.0
38.0,220.0,9,700.0
-7.0,225.0,9,738.0
-4.0,230.0,10,786.0
-13.0,235.0,11,838.0
-15.0,240.0,10,884.0
-15.0,245.0,11,938.0
-15.0,250.0,12,995.0
-17.0,255.0,12,1055.0
-20.0,260.0,12,1115.0
-20.0,265.0,18,1187.0
-25.0,270.0,25,1304.0
-40.0,275.0,25,1374.0
18.0,280.0,26,1491.0
-38.0,285.0,24,1591.0
-28.0,290.0,25,1700.0
-35.0,295.0,25,1825.0
-35.0,300.0,28,1955.0
-35.0,305.0,28,2058.0
7.0,310.0,28,2198.0
-30.0,315.0,28,2338.0
-30.0,320.0,29,2483.0
-35.0,325.0,29,2628.0
-35.0,330.0,27,2656.0
-35.0,335.0,27,2791.0
-35.0,340.0,27,2926.0
-35.0,345.0,27,3059.0
-35.0,350.0,31,3211.0
-40.0,355.0,28,3238.0
-40.0,360.0,27,3289.0
-40.0,365.0,27,3424.0
-40.0,370.0,27,3559.0
-40.0,375.0,30,3703.0
-40.0,380.0,29,3846.0
-40.0,385.0,29,3993.0
-40.0,390.0,29,4138.0
-40.0,395.0,29,4281.0
-40.0,400.0,29,4426.0
-40.0,405.0,29,4571.0
-40.0,410.0,27,4672.0
-40.0,415.0,27,4673.0
60.0,420.0,28,4813.0
-35.0,425.0,28,4204.0
-38.0,430.0,29,4340.0
-45.0,435.0,29,4481.0
-45.0,440.0,27,4203.0
-48.0,445.0,27,4024.0
-52.0,450.0,27,4137.0
-25.0,455.0,28,4273.0
-46.0,460.0,25,4097.0
-43.0,465.0,27,4227.0
-45.0,470.0,23,3739.0
-46.0,475.0,23,3313.0
-52.0,480.0,23,3428.0
-50.0,485.0,19,3235.0
260.0,490.0,23,3342.0
-42.0,495.0,24,3460.0
-55.0,500.0,24,3580.0
-55.0,505.0,23,3618.0
-55.0,510.0,23,3735.0
-55.0,515.0,30,3567.0
-61.0,520.0,31,3722.0
-78.0,525.0,35,3585.0
226.0,530.0,36,3759.0
-64.0,535.0,39,3951.0
-73.0,540.0,36,4034.0
-75.0,545.0,36,4184.0
-75.0,550.0,36,4364.0
-75.0,555.0,35,4478.0
-75.0,560.0,35,4652.0
-77.0,565.0,35,4827.0
-75.0,570.0,34,4703.0
-79.0,575.0,36,4877.0
-89.0,580.0,35,5000.0
-90.0,585.0,33,4777.0
-90.0,590.0,35,4948.0
-90.0,595.0,37,5127.0
-93.0,600.0,37,5312.0
-95.0,605.0,37,5497.0
-95.0,610.0,37,5682.0
-95.0,615.0,37,5769.0
-96.0,620.0,36,5799.0
-102.0,625.0,38,5986.0
-105.0,630.0,43,6192.0
-119.0,635.0,43,6405.0
-125.0,640.0,43,6620.0
-125.0,645.0,43,6835.0
-125.0,650.0,43,7050.0
-125.0,655.0,43,7265.0
-125.0,660.0,41,7401.0
-46.0,665.0,41,7608.0
-115.0,670.0,41,7813.0
-115.0,675.0,42,8019.0
-115.0,680.0,45,8237.0
-120.0,685.0,42,7619.0
-124.0,690.0,36,6739.0
-125.0,695.0,36,6919.0
-125.0,700.0,38,7034.0
-125.0,705.0,39,7205.0
-101.0,710.0,39,7402.0
-120.0,715.0,39,7597.0
-120.0,720.0,39,7792.0
-120.0,725.0,41,7991.0
-120.0,730.0,42,8199.0
-120.0,735.0,41,8376.0
-120.0,740.0,40,8471.0
-120.0,745.0,41,8676.0
-122.0,750.0,35,8349.0
-123.0,755.0,36,8178.0
-124.0,760.0,38,8363.0
-122.0,765.0,47,8577.0
-132.0,770.0,44,7506.0
1180.0,775.0,31,5928.0
1676.0,780.0,30,5530.0
513.0,785.0,36,5145.0
507.0,790.0,37,5281.0
-51.0,795.0,39,5449.0
-74.0,800.0,41,5653.0
-89.0,805.0,42,5859.0
-90.0,810.0,42,6069.0
-90.0,815.0,42,6209.0
-90.0,820.0,43,6352.0
-90.0,825.0,44,6568.0
-90.0,830.0,49,6806.0
-93.0,835.0,49,7051.0
-95.0,840.0,46,7256.0
-95.0,845.0,40,7176.0
-95.0,850.0,40,7256.0
-100.0,855.0,42,7458.0
-100.0,860.0,40,7539.0
30.0,865.0,41,7654.0
6.0,870.0,41,7848.0
-85.0,875.0,39,7522.0
-85.0,880.0,35,7654.0
-85.0,885.0,41,7847.0
-85.0,890.0,43,8061.0
-85.0,895.0,45,8282.0
-85.0,900.0,45,8507.0
-85.0,905.0,45,8732.0
-85.0,910.0,45,8957.0
-85.0,915.0,43,9146.0
-85.0,920.0,43,9329.0
-85.0,925.0,43,9544.0
-85.0,930.0,43,9759.0
-85.0,935.0,43,9974.0
-85.0,940.0,43,10189.0
-85.0,945.0,39,9948.0
-85.0,950.0,36,9562.0
-85.0,955.0,36,9621.0
-85.0,960.0,37,9804.0
-85.0,965.0,37,9987.0
-85.0,970.0,37,10172.0
-85.0,975.0,36,10337.0
-85.0,980.0,36,10517.0
-85.0,985.0,36,10697.0
-85.0,990.0,36,10877.0
-85.0,995.0,36,11057.0
-85.0,1000.0,36,11237.0
-85.0,1005.0,36,11417.0
-85.0,1010.0,36,11597.0
-85.0,1015.0,48,11802.0
-93.0,1020.0,53,12062.0
-100.0,1025.0,51,12011.0
-100.0,1030.0,56,12276.0
-100.0,1035.0,53,12523.0
-100.0,1040.0,54,12773.0
-100.0,1045.0,54,13043.0
-100.0,1050.0,55,13282.0
-100.0,1055.0,53,13022.0
-104.0,1060.0,45,12519.0
-100.0,1065.0,43,12062.0
-100.0,1070.0,45,11990.0
-103.0,1075.0,48,12226.0
-105.0,1080.0,42,11266.0
1097.0,1085.0,41,11468.0
-67.0,1090.0,44,11182.0
428.0,1095.0,40,11136.0
-75.0,1100.0,42,11138.0
-90.0,1105.0,42,11344.0
-95.0,1110.0,40,11505.0
-46.0,1115.0,42,11683.0
-63.0,1120.0,40,11879.0
-81.0,1125.0,40,12074.0
-80.0,1130.0,36,11892.0
-85.0,1135.0,36,12074.0
-85.0,1140.0,36,12254.0
-85.0,1145.0,36,12432.0
-85.0,1150.0,36,12612.0
-85.0,1155.0,36,12482.0
-92.0,1160.0,40,12669.0
-95.0,1165.0,32,11678.0
638.0,1170.0,29,10026.0
1054.0,1175.0,32,10178.0
-68.0,1180.0,34,9621.0
-80.0,1185.0,34,9791.0
-90.0,1190.0,32,9954.0
-90.0,1195.0,35,10083.0
-90.0,1200.0,37,10266.0
-90.0,1205.0,37,10451.0
-90.0,1210.0,34,10544.0
5.0,1215.0,34,10591.0
-12.0,1220.0,34,10763.0
-70.0,1225.0,35,10936.0
-70.0,1230.0,37,11117.0
-70.0,1235.0,39,11308.0
-70.0,1240.0,39,11503.0
-70.0,1245.0,39,11698.0
-70.0,1250.0,39,11893.0
-70.0,1255.0,39,12088.0
-70.0,1260.0,41,12287.0
-72.0,1265.0,49,12511.0
-82.0,1270.0,54,12776.0
-94.0,1275.0,53,13036.0
-95.0,1280.0,54,13293.0
-95.0,1285.0,54,13563.0
-95.0,1290.0,53,13809.0
-95.0,1295.0,55,14060.0
-97.0,1300.0,58,14287.0
-103.0,1305.0,59,14581.0
-105.0,1310.0,54,14673.0
-105.0,1315.0,52,14746.0
