reward,step_time,total_stopped,total_wait_time
0.0,125.0,26,1510.0
-1510.0,130.0,16,1467.0
43.0,135.0,20,1441.0
26.0,140.0,23,1358.0
83.0,145.0,22,1386.0
-28.0,150.0,24,1415.0
-29.0,155.0,23,1488.0
-73.0,160.0,30,1600.0
-112.0,165.0,40,1776.0
-176.0,170.0,44,1973.0
-197.0,175.0,47,2199.0
-226.0,180.0,44,2169.0
30.0,185.0,34,2220.0
-51.0,190.0,27,2367.0
-147.0,195.0,35,2525.0
-158.0,200.0,39,2708.0
-183.0,205.0,49,2940.0
-232.0,210.0,57,3206.0
-266.0,215.0,58,3195.0
11.0,220.0,53,3458.0
-263.0,225.0,52,3719.0
-261.0,230.0,49,3670.0
49.0,235.0,48,3908.0
-238.0,240.0,52,4154.0
-246.0,245.0,53,4414.0
-260.0,250.0,53,4382.0
32.0,255.0,54,4650.0
-268.0,260.0,54,4920.0
-270.0,265.0,52,5181.0
-261.0,270.0,61,5469.0
-288.0,275.0,60,5458.0
11.0,280.0,57,5752.0
-294.0,285.0,48,5717.0
35.0,290.0,41,5316.0
401.0,295.0,42,5517.0
-201.0,300.0,42,5391.0
126.0,305.0,43,4956.0
435.0,310.0,40,4307.0
649.0,315.0,40,3724.0
583.0,320.0,33,3848.0
-124.0,325.0,38,3989.0
-141.0,330.0,41,3920.0
69.0,335.0,39,3593.0
327.0,340.0,38,3190.0
403.0,345.0,36,3195.0
-5.0,350.0,38,3080.0
115.0,355.0,35,3234.0
-154.0,360.0,32,3125.0
109.0,365.0,28,3273.0
-148.0,370.0,29,3409.0
-136.0,375.0,34,3296.0
113.0,380.0,36,2790.0
506.0,385.0,32,2895.0
-105.0,390.0,39,3048.0
-153.0,395.0,43,3253.0
-205.0,400.0,48,3280.0
-27.0,405.0,48,3515.0
-235.0,410.0,46,3694.0
-179.0,415.0,55,3938.0
-244.0,420.0,57,4164.0
-226.0,425.0,62,4099.0
65.0,430.0,57,3675.0
424.0,435.0,48,3740.0
-65.0,440.0,48,3977.0
-237.0,445.0,48,4175.0
-198.0,450.0,57,4440.0
-265.0,455.0,66,4754.0
-314.0,460.0,69,5077.0
-323.0,465.0,69,5128.0
-51.0,470.0,64,5458.0
-330.0,475.0,55,5461.0
-3.0,480.0,45,5665.0
-204.0,485.0,47,5893.0
-228.0,490.0,47,5831.0
62.0,495.0,50,6071.0
-240.0,500.0,57,6345.0
-274.0,505.0,53,6234.0
111.0,510.0,43,6154.0
80.0,515.0,39,5779.0
375.0,520.0,36,5831.0
-52.0,525.0,34,5947.0
-116.0,530.0,45,6140.0
-193.0,535.0,55,6373.0
-233.0,540.0,60,6329.0
44.0,545.0,59,6626.0
-297.0,550.0,56,6896.0
-270.0,555.0,58,7176.0
-280.0,560.0,54,7116.0
60.0,565.0,51,7356.0
-240.0,570.0,51,7233.0
123.0,575.0,43,6539.0
694.0,580.0,39,6563.0
-24.0,585.0,37,6391.0
172.0,590.0,36,5929.0
462.0,595.0,40,5989.0
-60.0,600.0,37,5916.0
73.0,605.0,37,6040.0
-124.0,610.0,46,6251.0
-211.0,615.0,50,6099.0
152.0,620.0,50,6347.0
-248.0,625.0,52,6212.0
135.0,630.0,39,6131.0
81.0,635.0,29,6214.0
-83.0,640.0,30,5961.0
253.0,645.0,28,5333.0
628.0,650.0,32,5238.0
95.0,655.0,38,5048.0
190.0,660.0,38,5193.0
-145.0,665.0,44,5054.0
139.0,670.0,43,5263.0
-209.0,675.0,51,5500.0
-237.0,680.0,47,5390.0
110.0,685.0,43,5217.0
173.0,690.0,38,5417.0
-200.0,695.0,40,5272.0
145.0,700.0,37,4723.0
549.0,705.0,34,4492.0
231.0,710.0,30,4388.0
104.0,715.0,29,4426.0
-38.0,720.0,28,4164.0
262.0,725.0,25,4189.0
-25.0,730.0,35,4239.0
-50.0,735.0,43,4149.0
90.0,740.0,43,3977.0
172.0,745.0,35,4148.0
-171.0,750.0,38,4324.0
-176.0,755.0,42,4260.0
64.0,760.0,38,3965.0
295.0,765.0,38,3658.0
307.0,770.0,30,3608.0
50.0,775.0,32,3685.0
-77.0,780.0,31,3828.0
-143.0,785.0,39,3993.0
-165.0,790.0,48,4002.0
-9.0,795.0,47,3794.0
208.0,800.0,36,3796.0
-2.0,805.0,23,3608.0
188.0,810.0,25,3672.0
-64.0,815.0,26,3403.0
269.0,820.0,32,3417.0
-14.0,825.0,32,3539.0
-122.0,830.0,29,3574.0
-35.0,835.0,24,3488.0
86.0,840.0,31,3421.0
67.0,845.0,41,3515.0
-94.0,850.0,37,3317.0
198.0,855.0,37,3496.0
-179.0,860.0,34,3654.0
-158.0,865.0,22,3705.0
-51.0,870.0,27,3470.0
235.0,875.0,28,2956.0
514.0,880.0,30,2894.0
62.0,885.0,24,2937.0
-43.0,890.0,17,2937.0
0.0,895.0,26,3020.0
-83.0,900.0,37,3150.0
-130.0,905.0,40,3016.0
134.0,910.0,37,3200.0
-184.0,915.0,35,3331.0
-131.0,920.0,26,3142.0
189.0,925.0,21,3136.0
6.0,930.0,24,2931.0
205.0,935.0,15,2938.0
-7.0,940.0,16,2701.0
237.0,945.0,13,2685.0
16.0,950.0,15,2671.0
14.0,955.0,27,2714.0
-43.0,960.0,36,2875.0
-161.0,965.0,38,2964.0
-89.0,970.0,38,2993.0
-29.0,975.0,43,3112.0
-119.0,980.0,40,2958.0
154.0,985.0,34,3120.0
-162.0,990.0,35,3286.0
-166.0,995.0,26,3350.0
-64.0,1000.0,24,3351.0
-1.0,1005.0,34,3471.0
