reward,step_time,total_stopped,total_wait_time
0.0,125.0,26,1507.0
-1507.0,130.0,21,1304.0
203.0,135.0,24,1190.0
114.0,140.0,25,1205.0
-15.0,145.0,26,1251.0
-46.0,150.0,26,1381.0
-130.0,155.0,28,1518.0
-137.0,160.0,32,1669.0
-151.0,165.0,33,1833.0
-164.0,170.0,35,2004.0
-171.0,175.0,37,2183.0
-179.0,180.0,38,2371.0
-188.0,185.0,38,2561.0
-190.0,190.0,40,2758.0
-197.0,195.0,42,2967.0
-209.0,200.0,44,3180.0
-213.0,205.0,44,3400.0
-220.0,210.0,44,3620.0
-220.0,215.0,48,3856.0
-236.0,220.0,48,4096.0
-240.0,225.0,51,4341.0
-245.0,230.0,52,4601.0
-260.0,235.0,55,4873.0
-272.0,240.0,56,5151.0
-278.0,245.0,57,5433.0
-282.0,250.0,60,5721.0
-288.0,255.0,60,6021.0
-300.0,260.0,61,6326.0
-305.0,265.0,64,6645.0
-319.0,270.0,64,6965.0
-320.0,275.0,64,7285.0
-320.0,280.0,64,7605.0
-320.0,285.0,64,7925.0
-320.0,290.0,66,8249.0
-324.0,295.0,66,8579.0
-330.0,300.0,68,8919.0
-340.0,305.0,70,9266.0
-347.0,310.0,70,9616.0
-350.0,315.0,70,9966.0
-350.0,320.0,70,10316.0
-350.0,325.0,70,10666.0
-350.0,330.0,72,11024.0
-358.0,335.0,74,11392.0
-368.0,340.0,72,11459.0
-67.0,345.0,68,11807.0
-348.0,350.0,67,12145.0
-338.0,355.0,62,12166.0
-21.0,360.0,61,12467.0
-301.0,365.0,63,12775.0
-308.0,370.0,68,13106.0
-331.0,375.0,73,13458.0
-352.0,380.0,77,13837.0
-379.0,385.0,79,14230.0
-393.0,390.0,72,14008.0
222.0,395.0,66,14350.0
-342.0,400.0,64,14672.0
-322.0,405.0,64,14996.0
-324.0,410.0,70,15332.0
-336.0,415.0,76,15702.0
-370.0,420.0,82,16100.0
-398.0,425.0,82,16510.0
-410.0,430.0,82,16920.0
-410.0,435.0,82,17330.0
-410.0,440.0,84,17750.0
-420.0,445.0,85,18172.0
-422.0,450.0,86,18602.0
-430.0,455.0,86,19032.0
-430.0,460.0,82,18856.0
176.0,465.0,78,19245.0
-389.0,470.0,84,19657.0
-412.0,475.0,84,20077.0
-420.0,480.0,84,20497.0
-420.0,485.0,84,20917.0
-420.0,490.0,84,21337.0
-420.0,495.0,84,21757.0
-420.0,500.0,84,22177.0
-420.0,505.0,84,22597.0
-420.0,510.0,84,23017.0
-420.0,515.0,84,23437.0
-420.0,520.0,86,23865.0
-428.0,525.0,86,24295.0
-430.0,530.0,86,24725.0
-430.0,535.0,86,25155.0
-430.0,540.0,86,25585.0
-430.0,545.0,86,26015.0
-430.0,550.0,86,26445.0
-430.0,555.0,86,26875.0
-430.0,560.0,86,27305.0
-430.0,565.0,86,27735.0
-430.0,570.0,86,28165.0
-430.0,575.0,86,28595.0
-430.0,580.0,86,29025.0
-430.0,585.0,86,29455.0
-430.0,590.0,88,29890.0
-435.0,595.0,88,30330.0
-440.0,600.0,88,30770.0
-440.0,605.0,88,31210.0
-440.0,610.0,88,31650.0
-440.0,615.0,88,32090.0
-440.0,620.0,88,32530.0
-440.0,625.0,88,32970.0
-440.0,630.0,88,33410.0
-440.0,635.0,88,33850.0
-440.0,640.0,88,34290.0
-440.0,645.0,85,34136.0
154.0,650.0,82,34550.0
-414.0,655.0,82,34957.0
-407.0,660.0,78,34764.0
193.0,665.0,76,35146.0
-382.0,670.0,79,35539.0
-393.0,675.0,80,35938.0
-399.0,680.0,81,36341.0
-403.0,685.0,85,36757.0
-416.0,690.0,89,37193.0
-436.0,695.0,81,36421.0
772.0,700.0,76,36808.0
-387.0,705.0,74,37180.0
-372.0,710.0,74,37544.0
-364.0,715.0,78,37922.0
-378.0,720.0,86,38340.0
-418.0,725.0,90,38782.0
-442.0,730.0,91,39233.0
-451.0,735.0,92,39692.0
-459.0,740.0,92,40152.0
-460.0,745.0,92,40612.0
-460.0,750.0,92,41072.0
-460.0,755.0,92,41532.0
-460.0,760.0,92,41992.0
-460.0,765.0,89,41390.0
602.0,770.0,81,41809.0
-419.0,775.0,85,42216.0
-407.0,780.0,90,42653.0
-437.0,785.0,90,43103.0
-450.0,790.0,90,43553.0
-450.0,795.0,90,44003.0
-450.0,800.0,90,44453.0
-450.0,805.0,92,44910.0
-457.0,810.0,92,45370.0
-460.0,815.0,92,45830.0
-460.0,820.0,92,46290.0
-460.0,825.0,92,46750.0
-460.0,830.0,92,47210.0
-460.0,835.0,92,47670.0
-460.0,840.0,92,48130.0
-460.0,845.0,92,48590.0
-460.0,850.0,92,49050.0
-460.0,855.0,92,49510.0
-460.0,860.0,92,49970.0
-460.0,865.0,92,50430.0
-460.0,870.0,92,50890.0
-460.0,875.0,94,51354.0
-464.0,880.0,94,51824.0
-470.0,885.0,94,52294.0
-470.0,890.0,94,52764.0
-470.0,895.0,94,53234.0
-470.0,900.0,94,53704.0
-470.0,905.0,94,54174.0
-470.0,910.0,94,54644.0
-470.0,915.0,94,55114.0
-470.0,920.0,94,55584.0
-470.0,925.0,94,56054.0
